year,team,mean_percentile,auc,n_drafted,n_available
2019,Boppers,0.4780795442986471,0.4744160177975528,29,339
2019,Dancing With Dingos,0.523196567444355,0.5232291367938056,22,339
2019,Gusteroids,0.5854322668481962,0.5909314327844679,26,339
2019,HAMMERHEADS,0.6125432858791843,0.6191524490919097,23,339
2019,Kerry & Mitch,0.4708702064896755,0.46620521172638435,32,339
2019,Livn Lex,0.4911951372128363,0.48861160625866507,33,339
2019,Mashers,0.5456092579986386,0.5478004423691325,26,339
2019,R&R,0.4705882352941176,0.4656702025072324,34,339
2019,Shrooms,0.45876106194690264,0.4538853503184713,25,339
2019,Thunder & Lightning,0.5481106897036101,0.5497154836777478,21,339
2019,mean machine,0.4832841691248771,0.48004314994606256,30,339
2021,Dancing With Dingos,0.39864540877487403,0.3845635321873947,43,388
2021,Gusteroids,0.5590721649484536,0.5617630853994491,25,388
2021,HAMMERHEADS,0.5375257731958762,0.538732782369146,25,388
2021,Kerry & Mitch,0.5210051546391753,0.5219827586206897,40,388
2021,Livn Lex,0.47248087795144655,0.4686907020872865,31,388
2021,Mashers,0.4653902798232696,0.4605422905706192,35,388
2021,Mean Machine,0.5680015860428231,0.5741679523914481,39,388
2021,R&R,0.5415344964314037,0.5431364215894603,26,388
2021,Shoeless Joe's,0.4526710402999063,0.4484600099354198,22,388
2021,Shrooms,0.43743145426628655,0.4273413614525488,47,388
2021,Thunder & Lightning,0.5203153426318982,0.5208541043536058,34,388
2022,Dancing With Dingos,0.5454545454545454,0.5436241610738255,5,154
2022,Gusteroids,0.5690672963400236,0.5708836617927527,11,154
2022,HAMMERHEADS,0.4814471243042672,0.4771622934888241,7,154
2022,Kerry & Mitch,0.29545454545454547,0.28378378378378377,6,154
2022,Livn Lex,0.1298701298701299,0.12418300653594772,1,154
2022,Mashers,0.4174397031539889,0.4101068999028183,7,154
2022,Mean Machine,0.4978354978354978,0.49448123620309054,3,154
2022,R&R,0.31457431457431456,0.2996168582375479,9,154
2022,Shoeless Joe's,0.5303030303030304,0.5275938189845475,3,154
2022,Shrooms,0.6136363636363638,0.6180555555555556,10,154
2022,Thunder & Lightning,0.4817001180637545,0.47679593134138587,11,154
2023,Dancing With Dingos,0.5272029760520809,0.5275610058218754,23,374
2023,Gusteroids,0.5336229946524064,0.5361526946107784,40,374
2023,HAMMERHEADS,0.5128342245989305,0.5123209169054441,25,374
2023,Kerry & Mitch,0.5710128971374646,0.576643598615917,34,374
2023,Livn Lex,0.5188194158782393,0.518788682581786,26,374
2023,Mean Machine,0.4608097784568372,0.45528866413822167,35,374
2023,On a Bender,0.4481861540685071,0.4410137140107466,37,374
2023,R&R,0.4907349832110434,0.4880207967399705,43,374
2023,Shrooms,0.4437817084875907,0.4357443551473402,39,374
2023,Thunder & Lightning,0.5177048706460472,0.5181650493223193,37,374
2024,Ayal Feinberg,0.41911421911421903,0.4105516194331984,26,330
2024,Dancing With Dingos,0.44880382775119615,0.44406837028261975,19,330
2024,Gusteroids,0.47998163452708903,0.47607387001326396,33,330
2024,HAMMERHEADS,0.5292929292929294,0.5305555555555556,30,330
2024,Kerry & Mitch,0.6108225108225109,0.6194418164616841,28,330
2024,Mean Machine,0.4867564534231201,0.4839261703948173,27,330
2024,On a Bender,0.5448275862068966,0.5474853935158667,29,330
2024,R&R,0.5143722943722943,0.5143825665859564,35,330
2024,Shrooms,0.49026629935720845,0.48750127538006327,33,330
2024,Thunder & Lightning,0.5848484848484848,0.5932203389830508,35,330
2025,Dancing With Dingos,0.4083080040526849,0.40147551978537893,21,376
2025,Gusteroids,0.46338446313706094,0.4571548292478525,43,376
2025,HAMMERHEADS,0.5134001636661212,0.5129670329670329,26,376
2025,Kerry & Mitch,0.531196089706728,0.5331260464003826,37,376
2025,Kosher Hogs,0.530252659574468,0.5308948863636364,24,376
2025,Mean Machine,0.5115769712140175,0.511265909872721,34,376
2025,On a Bender,0.4167099117799689,0.40502366217692026,41,376
2025,R&R,0.548822188449848,0.5513136288998358,28,376
2025,Shrooms,0.5366900386847194,0.5400465498357064,44,376
2025,Thunder & Lightning,0.5461674849972721,0.5500266301453245,39,376
