year,team,optimal_msp_sum,actual_msp_sum,msp_uplift,actual_total_pts,n_optimal_picks,n_actual_draftees
2019,Boppers,89.0,54.0,35.0,47.0,15,29
2019,Dancing With Dingos,64.0,6.0,58.0,65.5,14,22
2019,Gusteroids,98.0,50.0,48.0,89.5,19,26
2019,HAMMERHEADS,141.0,91.0,50.0,69.5,19,23
2019,Kerry & Mitch,107.0,68.0,39.0,31.5,18,32
2019,Livn Lex,210.0,160.0,50.0,49.0,21,33
2019,Mashers,60.0,20.0,40.0,45.0,14,26
2019,R&R,140.0,90.0,50.0,50.5,19,34
2019,Shrooms,70.0,22.0,48.0,63.0,16,25
2019,Thunder & Lightning,79.0,38.0,41.0,69.5,17,21
2019,mean machine,61.0,12.0,49.0,58.0,17,30
2021,Dancing With Dingos,146.0,1.0,145.0,27.0,21,43
2021,Gusteroids,58.0,15.0,43.0,101.0,14,25
2021,HAMMERHEADS,80.0,22.0,58.0,65.0,18,25
2021,Kerry & Mitch,111.0,41.0,70.0,54.0,21,40
2021,Livn Lex,200.0,122.0,78.0,54.0,22,31
2021,Mashers,135.0,36.0,99.0,65.0,19,35
2021,Mean Machine,99.0,49.0,50.0,68.0,21,39
2021,R&R,80.0,39.0,41.0,89.0,17,26
2021,Shoeless Joe's,115.0,27.0,88.0,47.0,19,22
2021,Shrooms,128.0,-53.0,181.0,21.0,24,47
2021,Thunder & Lightning,127.0,57.0,70.0,69.0,18,34
2022,Dancing With Dingos,4.0,3.0,1.0,91.0,1,5
2022,Gusteroids,4.5,1.0,3.5,81.0,1,11
2022,HAMMERHEADS,7.0,10.5,-3.5,74.0,1,7
2022,Kerry & Mitch,0.0,1.0,-1.0,56.0,0,6
2022,Livn Lex,6.0,0.0,6.0,42.5,1,1
2022,Mashers,0.0,11.0,-11.0,51.0,0,7
2022,Mean Machine,9.0,4.0,5.0,75.5,1,3
2022,R&R,6.5,-22.5,29.0,79.0,1,9
2022,Shoeless Joe's,0.0,6.0,-6.0,26.0,0,3
2022,Shrooms,20.0,26.5,-6.5,59.0,2,10
2022,Thunder & Lightning,0.0,16.0,-16.0,25.0,0,11
2023,Dancing With Dingos,68.0,13.0,55.0,79.5,17,23
2023,Gusteroids,123.0,45.0,78.0,71.0,19,40
2023,HAMMERHEADS,91.0,49.0,42.0,58.0,16,25
2023,Kerry & Mitch,141.0,65.0,76.0,72.0,24,34
2023,Livn Lex,187.0,80.0,107.0,33.0,22,26
2023,Mean Machine,62.0,14.0,48.0,66.5,17,35
2023,On a Bender,114.0,17.0,97.0,59.0,17,37
2023,R&R,180.0,52.0,128.0,48.0,20,43
2023,Shrooms,122.0,-4.0,126.0,29.0,21,39
2023,Thunder & Lightning,155.0,84.0,71.0,34.0,20,37
2024,Ayal Feinberg,113.0,53.0,60.0,16.0,15,26
2024,Dancing With Dingos,46.0,-8.0,54.0,77.0,15,19
2024,Gusteroids,47.0,23.0,24.0,73.5,13,33
2024,HAMMERHEADS,133.0,122.0,11.0,41.0,16,30
2024,Kerry & Mitch,34.0,-21.0,55.0,81.5,14,28
2024,Mean Machine,129.0,55.0,74.0,55.5,17,27
2024,On a Bender,153.0,94.0,59.0,57.5,20,29
2024,R&R,110.0,45.0,65.0,34.0,20,35
2024,Shrooms,73.0,43.0,30.0,36.0,16,33
2024,Thunder & Lightning,91.0,72.0,19.0,78.0,18,35
2025,Dancing With Dingos,97.0,2.0,95.0,66.0,20,21
2025,Gusteroids,165.0,100.0,65.0,22.0,25,43
2025,HAMMERHEADS,176.0,84.0,92.0,69.5,23,26
2025,Kerry & Mitch,89.0,44.0,45.0,56.5,21,37
2025,Kosher Hogs,150.0,69.0,81.0,51.0,18,24
2025,Mean Machine,73.0,32.0,41.0,65.5,17,34
2025,On a Bender,109.0,100.0,9.0,25.0,17,41
2025,R&R,88.0,12.0,76.0,76.0,15,28
2025,Shrooms,93.0,17.0,76.0,42.5,23,44
2025,Thunder & Lightning,49.0,47.0,2.0,76.0,17,39
